distance_m,lon,lat,elevation_m
6480.00,516457.194523,5409557.857390,211.00
6510.00,516428.409589,5409554.923963,211.00
6540.00,516398.409589,5409554.923963,212.00
6570.00,516368.409589,5409554.923963,213.00
6600.00,516338.409589,5409554.923963,212.00
6630.00,516308.409589,5409554.923963,211.00
6660.00,516286.885883,5409534.460377,211.00
6690.00,516265.672680,5409513.247173,212.00
6720.00,516238.693851,5409505.953420,211.00
6750.00,516208.903133,5409505.448169,211.00
6780.00,516187.689930,5409484.234966,211.00
6810.00,516158.835983,5409481.468149,211.00
6840.00,516128.835983,5409481.468149,211.00
6870.00,516098.835983,5409481.468149,213.00
6900.00,516074.150837,5409494.299342,214.00
6930.00,516052.937633,5409515.512545,214.00
6960.00,516031.724430,5409524.151634,214.00
6990.00,516009.262377,5409505.953420,214.00
7020.00,515979.262377,5409505.953420,213.00
7050.00,515949.262377,5409505.953420,214.00
7080.00,515919.262377,5409505.953420,215.00
7110.00,515896.972133,5409487.340422,215.00
7140.00,515891.099861,5409459.772797,214.00
7170.00,515871.859428,5409437.742445,215.00
7200.00,515850.646224,5409416.529242,214.00
7230.00,515842.129319,5409390.057059,212.00
7260.00,515825.533519,5409366.931265,214.00
7290.00,515804.320315,5409345.718061,214.00
7320.00,515783.107112,5409324.504858,214.00
7350.00,515761.893908,5409303.291655,213.00
7380.00,515740.680705,5409282.078451,213.00
7410.00,515719.467501,5409260.865248,213.00
7440.00,515698.254298,5409239.652044,214.00
7470.00,515677.041095,5409218.438841,212.00
7500.00,515655.827891,5409197.225637,212.00
7530.00,515646.247150,5409171.194110,212.00
7560.00,515661.779115,5409147.627661,214.00
7590.00,515682.992318,5409126.414457,214.00
7620.00,515695.217692,5409101.478373,214.00
7650.00,515695.217692,5409071.478373,214.00
7680.00,515678.430858,5409048.431707,215.00
7710.00,515657.217655,5409027.218504,215.00
7740.00,515636.004452,5409006.005300,215.00
7770.00,515614.791248,5408984.792097,215.00
7800.00,515593.578045,5408963.578893,215.00
7830.00,515572.364841,5408942.365690,214.00
7860.00,515551.151638,5408921.152487,214.00
7890.00,515529.938434,5408899.939283,214.00
7920.00,515502.472444,5408893.821644,213.00
7950.00,515473.168888,5408892.140279,214.00
7980.00,515451.955684,5408870.927075,215.00
8010.00,515430.742481,5408849.713872,214.00
8040.00,515409.529278,5408828.500668,214.00
8070.00,515388.316074,5408807.287465,212.00
8100.00,515367.102871,5408786.074262,212.00
8130.00,515345.889667,5408764.861058,213.00
8160.00,515327.938626,5408742.296623,213.00
8190.00,515327.938626,5408712.296623,213.00
8220.00,515327.938626,5408682.296623,214.00
8250.00,515327.938626,5408652.296623,215.00
8280.00,515346.798798,5408630.108762,215.00
8310.00,515352.423897,5408602.438754,214.00
8340.00,515354.597802,5408573.339215,213.00
8370.00,515375.811006,5408552.126012,211.00
8400.00,515374.107829,5408523.741238,211.00
